h,Fkplin,Fkpexp,Fkprec
0,,,
1,307.4176,543.7403,42.70004
2,116.0084,161.3324,12.42316
3,87.47073,120.7784,8.040488
4,67.77831,94.41202,6.039122
5,51.67814,70.02209,4.586452
6,42.56104,57.04761,4.131066
7,35.98349,48.03784,3.972143
8,30.61201,40.45357,3.738696
9,27.08735,35.55357,3.861907
10,24.18776,31.30871,4.175803
11,21.77062,27.61789,4.612554
12,20.13129,25.0961,5.092634
13,19.28271,23.88363,5.679817
14,19.11029,23.63039,6.238772
15,19.70036,24.36593,6.902002
16,20.87779,25.93973,7.66007
17,22.33951,27.87849,8.43097
18,24.03831,30.06367,9.39607
19,26.05078,32.24433,10.64335
20,28.27538,34.27096,12.52942
