h,multlin1,multexp1,multrec1
0,.1792939,.269575,.576909
1,.222522,.245065,1.502968
2,.2566036,.2470724,2.012662
3,.2536232,.233702,2.045223
4,.2722268,.2443797,2.066623
5,.3208539,.2802256,2.073884
6,.3564704,.3124701,1.836989
7,.3835287,.3391688,1.649878
8,.4133729,.3627949,1.587756
9,.4286994,.3784355,1.486591
10,.4417497,.3898762,1.430975
11,.4541439,.4006859,1.386689
12,.4608719,.4046769,1.345654
13,.4664577,.407507,1.302675
14,.473126,.4089125,1.274791
15,.473573,.4043838,1.233765
16,.4690366,.3957277,1.195111
17,.4629535,.384178,1.169917
18,.4556236,.3724277,1.151939
19,.4492468,.3619066,1.147423
20,.4425563,.3511263,1.153566
