h,multlin1,multexp1,multexpb,multrec1,multrecb
0,,,,,
1,.2180453,.248178,.248178,1.719094,1.719094
2,.2554253,.2516907,.2516907,2.609704,2.609704
3,.2518459,.2339049,.2339049,2.959529,2.959529
4,.278931,.24681,.24681,3.334859,3.334859
5,.343942,.2924028,.2924028,3.390721,3.390721
6,.3901527,.3300797,.3300797,2.713309,2.713309
7,.4175472,.3536024,.3536024,2.209296,2.209296
8,.4509454,.3770115,.3770115,1.766028,1.766028
9,.4771775,.4002679,.4002679,1.44399,1.44399
10,.5032738,.4216053,.4216053,1.307047,1.307047
11,.5264417,.4413477,.4413477,1.219268,1.219268
12,.5404437,.4509029,.4509029,1.172815,1.172815
13,.5509324,.4578596,.4578596,1.150424,1.150424
14,.5615774,.4629377,.4629377,1.135162,1.135162
15,.5638784,.4597155,.4597155,1.111637,1.111637
16,.5591006,.449382,.449382,1.089983,1.089983
17,.5524297,.4351163,.4351163,1.079895,1.079895
18,.5462165,.4212717,.4212717,1.07489,1.07489
19,.540206,.4074042,.4074042,1.077301,1.077301
20,.5341793,.3928005,.3928005,1.079679,1.079679
