h,byexp,byrec,bgexp,bgrec,seyexp,seyrec,segexp,segrec
0,.269575,.576909,1,1,,,,
1,.4076179,2.079149,1.763385,.7672077,.2592773,.4014366,.1221403,.3071961
2,.5186987,2.570517,2.076872,.829639,.293946,.5993896,.2671989,.4482652
3,.486823,2.403993,2.358056,1.134074,.3316498,.7585393,.2802978,.5723618
4,.6446282,2.683031,2.32364,1.259635,.3621045,.531076,.331607,.7218899
5,.927133,3.395712,2.091228,1.619895,.322574,.6333676,.422025,1.046112
6,1.03356,3.099608,2.109391,2.539803,.3216043,1.180426,.4390471,1.383618
7,1.03963,3.504625,1.982376,3.161895,.3204374,1.455124,.4589481,1.631884
8,1.002921,4.164453,1.743084,3.104576,.3345059,1.464892,.4918787,1.776588
9,.9145553,3.569719,1.69743,3.450416,.3806074,1.528129,.4858561,1.621808
10,.8566062,4.1786,1.639722,3.653398,.4136008,1.47453,.5212977,1.444619
11,.8431415,4.567116,1.544271,4.012756,.4238658,1.379478,.5486649,1.37244
12,.6965917,5.009038,1.505465,4.531505,.4064477,1.384473,.5209522,1.389696
13,.5901462,5.240064,1.286474,5.047451,.2953015,1.209716,.4251256,1.353775
14,.4310665,5.46466,.9680076,5.076605,.210048,1.069866,.3366988,1.410507
15,.1921864,5.070876,.7693091,5.479733,.2106716,1.184008,.2677464,1.311356
16,.0481046,5.18343,.7078151,5.846626,.2253954,1.094185,.2530041,1.372652
17,-.0803183,5.71305,.6202016,6.01422,.201815,1.069287,.2764192,1.557888
18,-.1113822,5.205122,.5868759,5.432011,.1308187,.9090179,.2740436,1.452232
19,-.0745079,4.358832,.624143,4.050524,.1162121,1.001132,.278448,1.728944
20,-.1148565,3.316211,.5627491,2.512582,.1327918,1.104887,.2961584,2.367194
