h,byexp,byrec,bgexp,bgrec,seyexp,seyrec,segexp,segrec
0,.0527196,-.0363882,.0373286,-.0051468,,,,
1,.0671525,.0611077,.0767036,-.0195239,.0349824,.0426802,.0332271,.008745
2,.0901163,.128707,.1496042,.0445932,.0321576,.0529749,.0460555,.0098601
3,.0816837,.2727544,.2020191,.1427132,.0214539,.0326727,.0476535,.011522
4,.1182138,.4397293,.2378902,.1929113,.0284944,.0332212,.0619973,.0078776
5,.1429865,.5059161,.2673842,.2744741,.0343861,.0475259,.0760913,.015537
6,.1628834,.5829427,.2941776,.4232733,.0366565,.0661401,.0843687,.0172723
7,.1486765,.5439231,.2982953,.5231809,.0400105,.0668273,.0817217,.0256346
8,.1660226,.7148883,.2795489,.8339202,.0528986,.069844,.0831872,.0406588
9,.212163,.8934326,.2813835,1.144656,.0594557,.0785503,.0933781,.0583697
10,.2221453,1.111037,.2827607,1.279768,.0637569,.091996,.1073738,.0907201
11,.2146626,1.079656,.290825,1.338049,.0699103,.1139498,.1141634,.1392409
12,.1804957,1.032125,.2752408,1.274778,.0749905,.1306178,.1129179,.1817034
13,.1512804,1.028918,.2472125,1.201498,.0832226,.1340727,.1139244,.2277022
14,.1276826,1.048592,.2293116,1.207986,.0945676,.1237991,.1192468,.2736685
15,.0871717,.9917803,.1908021,1.195878,.0862906,.109971,.1017689,.3019545
16,.0475327,.897728,.1373285,1.095072,.055011,.0993045,.077024,.292458
17,.019423,.8314793,.0821772,.9526587,.0348279,.094668,.0546903,.2700585
18,.0171605,.7591029,.050634,.8290555,.0282842,.0946219,.0485446,.2001618
19,.0086607,.6841334,.0193753,.6759381,.0251357,.0932512,.0446247,.1952655
20,-.0041084,.5052822,.0107845,.492832,.0333219,.0885843,.0410969,.2087151
