h,Fdifflin,Fdiffexp,Fdiffrec
0,30,30,30
1,30,30,19.59154
2,30,30,-10.68534
3,30,30,-15.06801
4,30,30,-17.06938
5,28.56964,30,-18.52205
6,19.45254,30,-18.97743
7,12.87499,24.92934,-19.13636
8,7.503509,17.34507,-19.3698
9,3.978849,12.44507,-19.24659
10,1.079261,8.200209,-18.9327
11,-1.33788,4.509386,-18.49595
12,-2.97721,1.987598,-18.01587
13,-3.825785,.775125,-17.42868
14,-3.998208,.5218921,-16.86973
15,-3.408137,1.257432,-16.2065
16,-2.230711,2.83123,-15.44843
17,-.7689881,4.76999,-14.67753
18,.929811,6.955169,-13.71243
19,2.942283,9.135828,-12.46515
20,5.166881,11.16246,-10.57908
