h,Fdifflin,Fdiffexp,Fdiffrec
0,-15.77477,-16.02205,-22.48484
1,-14.16448,-14.80855,-22.02616
2,-10.24745,-11.4819,-21.26292
3,-6.180335,-8.59526,4.973348
4,-3.889853,-7.653285,30
5,-3.534092,-7.951862,30
6,-3.846493,-8.566417,30
7,-3.723734,-8.532627,30
8,-3.868609,-8.294095,30
9,-4.763421,-8.431247,30
10,-6.252419,-9.124169,30
11,-7.664272,-10.02546,30
12,-8.880677,-10.93943,30
13,-9.999748,-11.88295,30
14,-11.04595,-12.81492,30
15,-11.8912,-13.5346,30
16,-12.37964,-13.98814,30
17,-12.59833,-14.18531,30
18,-12.64113,-14.2051,30
19,-12.64134,-14.11029,30
20,-12.68244,-13.99505,30
