h,multlin1,seylin,multexp1,seyexp,multrec1,seyrec,ptestdiff
0,.1792939,.1610501,.269575,.1380553,.576909,.2988397,.2573383
1,.222522,.1431821,.245065,.1364918,1.502968,.2629263,4.08e-07
2,.2566036,.1323432,.2470724,.1273036,2.012662,.3084573,8.31e-08
3,.2536232,.1319418,.233702,.1255547,2.045223,.3601146,4.91e-06
4,.2722268,.1330191,.2443797,.1263667,2.066623,.4878412,.0005004
5,.3208539,.1258128,.2802256,.1202849,2.073884,.602845,.0052867
6,.3564704,.11813,.3124701,.1131807,1.836989,.5217279,.0064945
7,.3835287,.1105514,.3391688,.105232,1.649878,.4251431,.0053322
8,.4133729,.103509,.3627949,.0988914,1.587756,.40106,.0064378
9,.4286994,.101175,.3784355,.0962783,1.486591,.3347846,.0043243
10,.4417497,.1005975,.3898762,.0957875,1.430975,.2868871,.0025787
11,.4541439,.1003031,.4006859,.0957434,1.386689,.2458186,.0013012
12,.4608719,.1007122,.4046769,.0961502,1.345654,.2085566,.0005967
13,.4664577,.1011585,.407507,.0965525,1.302675,.1765474,.0002587
14,.473126,.1037842,.4089125,.0983658,1.274791,.155962,.0001273
15,.473573,.1102276,.4043838,.1039379,1.233765,.1298257,.0000523
16,.4690366,.1188786,.3957277,.111513,1.195111,.1083354,.0000265
17,.4629535,.1272287,.384178,.1184796,1.169917,.0928939,.0000173
18,.4556236,.1329691,.3724277,.1225001,1.151939,.081667,.0000109
19,.4492468,.1366908,.3619066,.1245476,1.147423,.0741398,5.33e-06
20,.4425563,.1383913,.3511263,.124022,1.153566,.0631985,9.01e-07
