h,multlin1,seylin,multexp1,seyexp,multrec1,seyrec,ptestdiff
0,1.306459,.3516679,1.41231,.3259984,7.069991,9.010971,.5291433
1,1.059852,.2489708,1.051238,.2148144,-1.00198,3.266443,.1729384
2,.8468548,.1732254,.7965088,.151936,7.701185,3.377211,.2278586
3,.7057402,.1303032,.6266458,.1193117,2.620465,.3265934,4.50e-13
4,.6801281,.0996926,.5828823,.0941704,2.435434,.2088917,1.12e-24
5,.6764851,.0815467,.5696681,.0792846,2.17743,.1608296,1.19e-28
6,.6771979,.0734978,.566121,.07075,1.855862,.1267324,2.49e-26
7,.6637146,.0671139,.5536605,.0642387,1.584987,.0985021,9.32e-24
8,.6689614,.0587844,.5598634,.057049,1.333218,.0766007,1.58e-20
9,.6879548,.0537918,.5857459,.0537497,1.155262,.0592313,5.56e-16
10,.7064933,.0527113,.6093263,.0535353,1.079265,.0431039,1.13e-13
11,.7162561,.0523834,.623311,.0536549,1.020224,.0336679,5.00e-11
12,.719329,.051113,.6273372,.0528323,.9841814,.0265619,6.33e-10
13,.7189201,.0481591,.6263756,.0506952,.9664252,.0224936,5.48e-10
14,.7172865,.0450115,.6218782,.0489879,.9543694,.0188294,2.05e-10
15,.7133608,.0435754,.6133314,.0498385,.940841,.0167785,4.70e-10
16,.7096115,.0441816,.6036478,.0517993,.9299291,.0151743,1.26e-09
17,.7098383,.0464108,.5959642,.0551291,.9257749,.0144875,3.01e-09
18,.7153019,.0499396,.5931199,.0607054,.9251707,.0140946,4.00e-08
19,.722976,.0543505,.592627,.0666622,.9291949,.0138042,3.27e-07
20,.72948,.0593791,.5899455,.072217,.9323307,.0126384,1.51e-06
