h,multlin1,seylin,multexp1,seyexp,multrec1,seyrec,ptestdiff
0,1.306459,.3516679,1.243311,.4464885,-.6089757,.9760017,.0436692
1,1.059852,.2489708,1.106504,.2879978,-1.923226,1.536388,.0419125
2,.8468548,.1732254,.8859398,.1926358,-.1744441,.2519028,.0000216
3,.7057402,.1303032,.7120733,.1439265,.2239906,.1637229,.0082337
4,.6801281,.0996926,.6444688,.1210685,.4612103,.1401758,.2605057
5,.6764851,.0815467,.6336182,.101545,.5406085,.1178288,.522648
6,.6771979,.0734978,.6224098,.0934003,.5886261,.1064972,.8109989
7,.6637146,.0671139,.5949385,.0909186,.6028658,.0947128,.9539897
8,.6689614,.0587844,.5906104,.0912086,.620129,.0851939,.8227165
9,.6879548,.0537918,.6227133,.0952259,.6280578,.0751541,.9666034
10,.7064933,.0527113,.6578059,.0990054,.6370709,.0691935,.8696544
11,.7162561,.0523834,.6770753,.1023969,.6439218,.0655663,.7912143
12,.719329,.051113,.6830227,.1054018,.6530821,.0618393,.8140745
13,.7189201,.0481591,.6832382,.1091613,.6658636,.0584429,.8937175
14,.7172865,.0450115,.6800631,.1134682,.6784951,.053654,.990703
15,.7133608,.0435754,.6683412,.1214892,.6819684,.0517369,.9244049
16,.7096115,.0441816,.6598405,.1341311,.6796511,.0502147,.8984631
17,.7098383,.0464108,.6506546,.1451062,.6856003,.0500175,.8328922
18,.7153019,.0499396,.6456726,.1546212,.6976341,.0491822,.7659946
19,.722976,.0543505,.6498218,.1649243,.7071802,.0498615,.7548051
20,.72948,.0593791,.6572444,.1756466,.713527,.0501407,.7714516
