h,multlin1,seylin,multexp1,seyexp,multrec1,seyrec,ptestdiff,arp
0,,,,,,,,
1,.2180453,.1524731,.248178,.1485396,1.719094,.344192,2.22e-07,.1269563
2,.2554253,.1360964,.2516907,.1358321,2.609704,.3283772,1.24e-19,.1402747
3,.2518459,.1313881,.2339049,.1279782,2.959529,.2974028,8.76e-26,.1640812
4,.278931,.1261322,.24681,.1225467,3.334859,.4398198,3.95e-14,.1709173
5,.343942,.114691,.2924028,.1121217,3.390721,.658384,5.55e-06,.1633271
6,.3901527,.105738,.3300797,.1016429,2.713309,.5248818,.0000138,.1514384
7,.4175472,.0978579,.3536024,.0924991,2.209296,.4059932,.0000177,.1360037
8,.4509454,.0904659,.3770115,.0851397,1.766028,.3155394,.0000825,.1279837
9,.4771775,.0855596,.4002679,.0806526,1.44399,.2184816,.0000615,.1159381
10,.5032738,.0829011,.4216053,.0794133,1.307047,.1676274,.0000349,.1050414
11,.5264417,.0804677,.4413477,.0784266,1.219268,.1405888,.0000389,.098064
12,.5404437,.078482,.4509029,.0776197,1.172815,.1278271,.0000484,.0929391
13,.5509324,.0773135,.4578596,.0773681,1.150424,.1198435,.0000464,.0903498
14,.5615774,.0786511,.4629377,.0797167,1.135162,.1169257,.0000671,.0902482
15,.5638784,.0837138,.4597155,.0858408,1.111637,.1076565,.0000724,.0969661
16,.5591006,.0896882,.449382,.0920436,1.089983,.0976111,.0000622,.1143413
17,.5524297,.0970023,.4351163,.0988511,1.079895,.0922806,.0000543,.1233325
18,.5462165,.1043131,.4212717,.105089,1.07489,.0876143,.0000483,.1240172
19,.540206,.110711,.4074042,.1091743,1.077301,.0838291,.0000333,.1245571
20,.5341793,.1151024,.3928005,.1104354,1.079679,.0789072,.0000152,.1208321
